age,monthly_income,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,product_availability_online,gender_encoded,city_tier_encoded,shopping_preference_encoded
56,221111,16,16,28551,144092,7,2,2,2
69,96029,14,1,124056,28421,4,1,2,0
46,19055,2,0,81939,128229,10,0,2,2
32,53170,20,3,35901,134650,2,0,0,2
60,244016,18,16,131971,34122,5,1,2,2
25,114976,31,6,92423,123383,6,2,1,2
78,43251,10,4,26398,18035,8,2,1,0
38,150604,17,7,131561,33308,8,2,1,2
56,150996,28,0,123438,97145,9,0,2,2
75,63037,2,9,74311,79808,6,0,2,2
36,224154,49,3,56198,140722,9,1,2,2
40,107115,3,13,40543,46725,3,0,2,2
28,217693,27,8,83429,122126,7,2,1,2
28,92926,8,16,81177,19617,6,1,1,2
41,224888,37,13,49294,103713,2,1,1,2
70,235726,6,18,73565,139218,1,1,0,2
53,85400,0,1,30148,58440,7,2,1,2
57,114525,34,13,98395,98336,7,0,0,2
41,116164,46,8,23909,42179,9,0,1,2
20,238457,33,4,68110,67109,7,2,2,2
39,239174,8,14,10025,127299,2,1,2,2
70,156774,25,5,38287,3848,4,2,2,1
19,121732,7,15,46394,22500,5,0,1,2
41,30385,18,10,119035,18547,8,2,1,2
61,24336,25,8,44546,41489,6,0,0,2
47,80421,45,11,10716,25969,6,1,1,2
55,177297,9,7,132880,135540,6,2,0,2
19,51021,42,16,66778,89620,6,1,2,2
77,149854,29,11,31420,31294,4,0,1,2
38,234949,39,0,65173,45371,9,2,2,2
50,132369,35,7,10737,31314,9,1,0,1
29,235702,30,0,13603,52812,6,0,0,2
75,64111,7,12,48524,1669,9,0,0,1
39,104402,41,4,112987,126335,2,0,1,2
78,134774,46,19,82204,119167,9,1,1,2
61,230657,12,4,35393,74710,10,2,1,2
42,57719,36,7,30975,72627,8,0,0,2
66,242600,29,10,108742,123073,9,0,2,2
44,195109,14,19,129743,128262,3,0,1,2
76,226175,34,7,7720,121589,10,0,1,2
59,140695,2,9,134176,148247,3,2,0,2
45,149585,28,4,28170,36288,10,1,0,2
77,159407,23,19,73135,125311,8,2,2,2
33,190212,44,2,9795,144291,5,1,0,2
32,119126,22,4,68655,62518,7,0,1,2
79,226445,8,14,114331,37757,5,2,0,2
79,92658,1,13,13016,22135,8,2,2,2
64,180912,14,4,31116,55921,10,2,2,2
79,46007,31,1,126467,56756,10,0,0,2
68,203019,17,6,126412,15024,10,0,1,0
61,121833,28,6,139574,106040,8,1,1,2
72,133637,39,13,74782,66488,1,2,0,2
69,135721,2,14,108383,117518,6,0,0,2
74,108220,32,16,45068,102512,4,2,0,2
20,41393,6,8,5913,42042,1,2,0,2
54,72480,29,3,52392,93220,8,2,0,2
68,132243,26,15,133331,123696,5,1,1,2
24,103290,37,13,33872,73035,1,2,1,2
38,232407,28,0,52668,123722,2,1,2,2
26,119263,30,1,23421,955,7,2,2,1
56,155179,0,12,52138,79761,10,0,1,2
35,20993,40,7,24961,12163,9,1,0,1
21,242413,42,8,112610,37711,6,0,0,2
42,108650,26,9,103258,140980,10,2,1,2
77,249397,26,19,10552,143281,4,0,2,2
31,132595,28,9,70970,20249,3,1,0,2
67,67066,4,15,131931,84210,1,0,1,2
75,126850,2,8,63618,6736,4,1,0,2
26,57942,28,5,42865,74798,3,1,2,2
43,31138,40,11,20700,93830,3,2,1,2
70,133558,38,16,112780,45820,2,2,0,2
19,190599,12,9,45262,75090,10,1,2,2
37,24190,32,10,95314,64682,2,0,2,2
45,107259,19,8,121443,2632,3,0,2,1
64,93422,2,17,12681,73056,7,2,2,2
77,201770,5,2,14174,80428,3,1,2,2
24,97315,42,4,81080,1415,1,1,1,1
61,239782,16,4,40995,33647,5,1,2,2
78,44086,46,4,85145,53410,8,2,1,2
25,163394,3,10,115514,107200,8,1,0,2
64,140604,32,3,25654,113813,5,2,2,2
52,115814,32,4,46668,53060,8,0,1,2
31,134324,5,18,53741,92824,4,0,1,2
34,229641,40,10,127570,40905,3,1,1,2
53,231682,13,11,6497,6128,2,1,2,1
67,143921,45,16,98084,69949,6,0,2,2
57,18435,6,14,42909,146654,8,0,1,2
21,116505,5,1,127783,33220,8,0,2,2
19,68331,2,0,46694,136414,6,0,2,2
79,175014,36,5,39103,143083,7,1,0,2
